rodent_survey_id,site_id,start_date,end_date,quadrat,weather,notes,num_traps
1,1,1991-07-09,1991-07-10,1,NA,NA,49
2,1,1991-07-09,1991-07-10,2,NA,NA,49
3,10,1991-07-19,1991-07-20,1,NA,NA,49
4,10,1991-07-19,1991-07-20,2,NA,NA,49
5,6,1991-07-02,1991-07-03,1,NA,NA,49
6,6,1991-07-02,1991-07-03,2,NA,NA,49
7,14,1991-07-11,1991-07-12,1,NA,NA,49
8,14,1991-07-11,1991-07-12,2,NA,NA,49
9,16,1991-07-16,1991-07-17,1,NA,NA,49
10,16,1991-07-16,1991-07-17,2,NA,NA,49
11,13,1991-07-25,1991-07-26,1,NA,NA,49
12,13,1991-07-25,1991-07-26,2,NA,NA,49
13,4,1991-07-23,1991-07-24,1,NA,NA,49
14,4,1991-07-23,1991-07-24,2,NA,NA,49
15,1,1992-07-14,1992-07-15,1,NA,NA,49
16,1,1992-07-14,1992-07-15,2,NA,NA,49
17,10,1992-06-30,1992-07-01,1,NA,NA,49
18,10,1992-06-30,1992-07-01,2,NA,NA,49
19,6,1992-06-23,1992-06-24,1,NA,NA,49
20,6,1992-06-23,1992-06-24,2,NA,NA,49
21,14,1992-06-25,1992-06-26,1,NA,NA,49
22,14,1992-06-25,1992-06-26,2,NA,NA,49
23,16,1992-07-02,1992-07-03,1,NA,NA,49
24,16,1992-07-02,1992-07-03,2,NA,NA,49
25,13,1992-07-09,1992-07-10,1,NA,NA,49
26,13,1992-07-09,1992-07-10,2,NA,NA,49
27,4,1992-07-07,1992-07-08,1,NA,NA,49
28,4,1992-07-07,1992-07-08,2,NA,NA,49
29,1,1993-07-08,1993-07-09,1,NA,NA,49
30,1,1993-07-08,1993-07-09,2,NA,NA,49
31,10,1993-07-13,1993-07-14,1,NA,NA,49
32,10,1993-07-13,1993-07-14,2,NA,NA,49
33,15,1993-07-06,1993-07-07,1,NA,NA,49
34,15,1993-07-06,1993-07-07,2,NA,NA,49
35,15,1993-07-06,1993-07-07,3,NA,NA,98
36,8,1993-07-20,1993-07-21,1,NA,NA,49
37,6,1993-06-29,1993-06-30,1,NA,NA,49
38,6,1993-06-29,1993-06-30,2,NA,NA,49
39,14,1993-07-01,1993-07-02,1,NA,NA,49
40,14,1993-07-01,1993-07-02,2,NA,NA,49
41,14,1993-07-01,1993-07-02,3,NA,NA,98
42,16,1993-07-08,1993-07-09,1,NA,NA,49
43,16,1993-07-08,1993-07-09,2,NA,NA,49
44,17,1993-06-25,1993-06-26,3,NA,NA,49
45,17,1993-06-25,1993-06-26,4,NA,NA,49
46,17,1993-06-23,1993-06-24,1,NA,NA,49
47,17,1993-06-23,1993-06-24,2,NA,NA,49
48,13,1993-07-15,1993-07-16,1,NA,NA,49
49,13,1993-07-15,1993-07-16,2,NA,NA,49
50,13,1993-07-15,1993-07-16,3,NA,NA,98
51,18,1993-07-22,1993-07-23,1,NA,NA,49
52,18,1993-07-22,1993-07-23,2,NA,NA,49
53,7,1993-07-20,1993-07-21,1,NA,NA,49
54,7,1993-07-20,1993-07-21,2,NA,NA,49
55,4,1993-06-29,1993-06-30,1,NA,NA,49
56,4,1993-06-29,1993-06-30,2,NA,NA,49
57,1,1994-07-07,1994-07-08,1,NA,NA,49
58,1,1994-07-07,1994-07-08,2,NA,NA,49
59,10,1994-07-19,1994-07-20,1,NA,NA,49
60,10,1994-07-19,1994-07-20,2,NA,NA,49
61,15,1994-07-15,1994-07-16,1,NA,NA,49
62,15,1994-07-15,1994-07-16,2,NA,NA,49
63,8,1994-07-07,1994-07-08,1,NA,NA,49
64,6,1994-06-28,1994-06-29,1,NA,NA,49
65,6,1994-06-28,1994-06-29,2,NA,NA,49
66,14,1994-06-30,1994-07-01,1,NA,NA,49
67,14,1994-06-30,1994-07-01,2,NA,NA,49
68,16,1994-07-14,1994-07-15,1,NA,NA,49
69,16,1994-07-14,1994-07-15,2,NA,NA,49
70,17,1994-07-21,1994-07-22,1,NA,NA,49
71,17,1994-07-21,1994-07-22,2,NA,NA,49
72,3,1994-06-22,1994-06-23,1,NA,NA,49
73,3,1994-06-22,1994-06-23,2,NA,NA,49
74,13,1994-07-12,1994-07-13,1,NA,NA,49
75,13,1994-07-12,1994-07-13,2,NA,NA,49
76,18,1994-07-12,1994-07-13,1,NA,NA,49
77,18,1994-07-12,1994-07-13,2,NA,NA,49
78,7,1994-06-30,1994-07-01,1,NA,NA,49
79,7,1994-06-30,1994-07-01,2,NA,NA,49
80,4,1994-06-28,1994-06-29,1,NA,NA,49
81,4,1994-06-28,1994-06-29,2,NA,NA,49
82,1,1995-07-13,1995-07-14,1,NA,NA,49
83,1,1995-07-13,1995-07-14,2,NA,NA,49
84,10,1995-07-07,1995-07-08,1,NA,NA,49
85,10,1995-07-07,1995-07-08,2,NA,NA,49
86,15,1995-06-29,1995-06-30,1,NA,NA,49
87,15,1995-06-29,1995-06-30,2,NA,NA,49
88,8,1995-07-18,1995-07-19,1,NA,NA,49
89,5,1995-07-28,1995-07-29,1,NA,NA,49
90,5,1995-07-28,1995-07-29,2,NA,NA,49
91,6,1995-07-26,1995-07-27,1,NA,NA,49
92,6,1995-07-26,1995-07-27,2,NA,NA,49
93,11,1995-07-29,1995-07-30,1,NA,NA,49
94,14,1995-06-27,1995-06-28,1,NA,NA,49
95,14,1995-06-27,1995-06-28,2,NA,NA,49
96,16,1995-07-18,1995-07-19,1,NA,NA,49
97,16,1995-07-18,1995-07-19,2,NA,NA,49
98,17,1995-07-21,1995-07-22,1,NA,NA,49
99,17,1995-07-21,1995-07-22,2,NA,NA,49
100,3,1995-07-20,1995-07-21,1,NA,NA,49
101,3,1995-07-20,1995-07-21,2,NA,NA,49
102,20,1995-06-27,1995-06-28,1,NA,NA,49
103,20,1995-06-27,1995-06-28,2,NA,NA,49
104,13,1995-07-13,1995-07-14,1,NA,NA,49
105,13,1995-07-13,1995-07-14,2,NA,NA,49
106,18,1995-07-11,1995-07-12,1,NA,NA,49
107,18,1995-07-11,1995-07-12,2,NA,NA,49
108,7,1995-07-06,1995-07-07,1,NA,NA,49
109,7,1995-07-06,1995-07-07,2,NA,NA,49
110,4,1995-07-11,1995-07-12,1,NA,NA,49
111,4,1995-07-11,1995-07-12,2,NA,NA,49
112,19,1995-06-29,1995-06-30,1,NA,NA,49
113,19,1995-06-29,1995-06-30,2,NA,NA,49
114,2,1995-07-27,1995-07-28,1,NA,NA,49
115,2,1995-07-27,1995-07-28,2,NA,NA,49
116,1,1996-07-02,1996-07-03,1,NA,NA,49
117,1,1996-07-02,1996-07-03,2,NA,NA,49
118,10,1996-07-23,1996-07-24,1,NA,NA,49
119,10,1996-07-23,1996-07-24,2,NA,NA,49
120,15,1996-06-25,1996-06-26,1,NA,NA,49
121,15,1996-06-25,1996-06-26,2,NA,NA,49
122,8,1996-07-13,1996-07-14,1,NA,NA,49
123,5,1996-07-16,1996-07-17,1,NA,NA,49
124,5,1996-07-16,1996-07-17,2,NA,NA,49
125,6,1996-06-27,1996-06-28,1,NA,NA,49
126,6,1996-06-27,1996-06-28,2,NA,NA,49
127,11,1996-07-13,1996-07-14,1,NA,NA,49
128,14,1996-07-25,1996-07-26,1,NA,NA,49
129,14,1996-07-25,1996-07-26,2,NA,NA,49
130,16,1996-07-11,1996-07-12,1,NA,NA,49
131,16,1996-07-11,1996-07-12,2,NA,NA,49
132,17,1996-07-11,1996-07-12,1,NA,NA,49
133,17,1996-07-11,1996-07-12,2,NA,NA,49
134,3,1996-08-06,1996-08-07,1,NA,NA,49
135,3,1996-08-06,1996-08-07,2,NA,NA,49
136,20,1996-07-25,1996-07-26,1,NA,NA,49
137,20,1996-07-25,1996-07-26,2,NA,NA,49
138,13,1996-07-02,1996-07-03,1,NA,NA,49
139,13,1996-07-02,1996-07-03,2,NA,NA,49
140,18,1996-07-09,1996-07-10,1,NA,NA,49
141,18,1996-07-09,1996-07-10,2,NA,NA,49
142,7,1996-07-16,1996-07-17,1,NA,NA,49
143,7,1996-07-16,1996-07-17,2,NA,NA,49
144,4,1996-07-09,1996-07-10,1,NA,NA,49
145,4,1996-07-09,1996-07-10,2,NA,NA,49
146,19,1996-06-21,1996-06-22,1,NA,NA,49
147,19,1996-06-21,1996-06-22,2,NA,NA,49
148,2,1996-07-31,1996-08-01,1,NA,NA,49
149,2,1996-07-31,1996-08-01,2,NA,NA,49
150,4,1997-06-17,1997-06-20,1,65 F at 0500,NA,49
151,4,1997-06-17,1997-06-20,2,NA,NA,49
152,20,1997-06-24,1997-06-27,1,weather clear entire trapping period,NA,49
153,20,1997-06-24,1997-06-27,2,NA,NA,49
154,19,1997-06-25,1997-06-28,1,weather clear entire trapping period,6-25: approx 60% traps w/bait cleaned out,49
155,19,1997-06-25,1997-06-28,2,NA,NA,49
156,14,1997-06-30,1997-07-03,1,NA,NA,49
157,14,1997-06-30,1997-07-03,2,no rain during trapping period,NA,49
159,13,1997-07-08,1997-07-11,1,"nights 1-3 calm, clear warm; night 4 clear & windy 0-15 mph",NA,49
161,13,1997-07-08,1997-07-11,2,"nights 1-3 calm, clear, warm; night 4 clear & windy 0-15 mph",NA,49
162,6,1997-07-08,1997-07-11,1,NA,NA,49
163,6,1997-07-08,1997-07-11,2,NA,NA,49
164,2,1997-07-10,1997-07-11,1,NA,NA,49
165,2,1997-07-10,1997-07-11,2,NA,NA,49
167,1,1997-07-15,1997-07-18,1,all nights calm and clear during trapping session,NA,49
168,1,1997-07-15,1997-07-18,2,all nights clear & calm during trapping session,NA,49
169,17,1997-07-15,1997-07-18,1,NA,NA,49
170,17,1997-07-15,1997-07-18,2,NA,NA,49
171,16,1997-07-15,1997-07-18,1,NA,NA,49
172,16,1997-07-15,1997-07-18,2,NA,NA,49
173,18,1997-07-22,1997-07-23,1,NA,NA,49
174,18,1997-07-22,1997-07-23,2,NA,NA,49
175,8,1997-07-23,1997-07-24,1,NA,NA,49
176,11,1997-07-24,1997-07-25,1,NA,NA,49
177,10,1997-07-29,1997-08-01,1,NA,NA,49
178,10,1997-07-29,1997-08-01,2,NA,NA,49
179,7,1997-08-01,1997-08-02,1,NA,NA,49
180,7,1997-08-01,1997-08-02,2,NA,NA,49
181,20,1998-07-28,1998-07-31,1,rain at 6 p.m. 7-29; no rain other nights,NA,49
182,20,1998-07-28,1998-07-31,2,rain on 7-29 at 6 pm,NA,144
183,10,1998-06-29,1998-07-02,1,"clear, calm all 4 nights",NA,144
184,10,1998-06-29,1998-07-02,2,"clear, calm all 4 nights",NA,49
185,17,1998-07-20,1998-07-23,1,"night 1: rain 10pm-2am, night 2: rain/storm 12pm-3am, night 3: calm, ptly cloudy, night 4:calm,clear",NA,144
186,17,1998-07-20,1998-07-23,2,"night1: rain 2200-0200, night2: rain/storm 0000-0300, night 3 calm, ptly cloudy, night4: calm, clear",NA,49
187,14,1998-07-14,1998-07-17,1,"breezy night of 7-14, otherwise clear/calm",NA,144
188,14,1998-07-14,1998-07-17,2,"high winds night 1, otherwise clear/calm",NA,49
189,7,1998-07-14,1998-07-17,1,NA,NA,49
190,7,1998-07-14,1998-07-17,2,NA,NA,49
191,1,1998-06-16,1998-06-19,1,NA,NA,49
349,1,1998-06-16,1998-06-19,2,"night 1: clear, calm",NA,49
350,6,1998-06-17,1998-06-20,1,cool clear mornings; each day hotter,"6-18: B5, F7, G6 sprung",49
351,6,1998-06-17,1998-06-20,2,NA,NA,49
352,18,1998-07-31,1998-08-01,1,NA,NA,49
353,18,1998-07-31,1998-08-01,2,NA,NA,49
354,4,1998-07-26,1998-07-27,2,NA,many millipedes at trap entrances & in traps (7/27),49
355,4,1998-07-26,1998-07-27,1,NA,dead javelina at trap location E1,49
356,13,1998-07-01,1998-07-02,1,NA,NA,49
357,13,1998-07-01,1998-07-02,2,NA,NA,49
358,16,1998-06-29,1998-06-30,1,NA,NA,49
359,16,1998-06-29,1998-06-30,2,NA,NA,49
360,19,1998-06-26,1998-06-27,1,NA,NA,49
361,19,1998-06-26,1998-06-27,2,NA,NA,49
362,2,1998-06-23,1998-06-24,1,NA,NA,49
363,2,1998-06-23,1998-06-24,2,NA,NA,49
364,4,1999-07-12,1999-07-13,1,NA,NA,49
365,4,1999-07-12,1999-07-13,2,NA,NA,49
366,10,1999-07-20,1999-07-23,1,No rain during evenings 7/20-7/23,NA,49
367,10,1999-07-20,1999-07-23,2,no rain during trapping period,NA,49
368,16,1999-07-20,1999-07-21,1,NA,NA,49
369,16,1999-07-20,1999-07-21,2,NA,NA,49
370,13,1999-07-12,1999-07-13,1,"light rain night of 7-11, rain during day 7-12, light rain in early a.m. 7-13",NA,49
371,13,1999-07-12,1999-07-13,2,light rain & monsoon conditions at various times during trapping session,NA,49
372,6,1999-07-08,1999-07-11,1,"monsoon activity throughout trapping period, rain morning of 7-9-99",NA,49
374,6,1999-07-08,1999-07-11,2,"monsoon activity throughout trapping period, light rain morning of 7-9-99",NA,49
375,7,1999-07-06,1999-07-09,1,rained out night 2 (7-6/7-7),2nd night of trapping skipped due to rain,49
378,7,1999-07-06,1999-07-09,2,rained out night of 7-6/7-7,2nd night of trapping skipped due to weather,49
379,1,1999-06-22,1999-06-25,1,clear & calm evenings all 4 nights,NA,49
381,1,1999-06-22,1999-06-25,2,clear & calm all 4 nights,NA,49
382,20,1999-06-15,1999-06-18,1,"clear, calm",NA,49
383,20,1999-06-15,1999-06-18,2,"clear, calm",NA,144
384,8,1999-08-11,1999-08-12,1,NA,no marks given 8-12-99,49
385,17,1999-08-03,1999-08-06,1,NA,NA,144
386,17,1999-08-03,1999-08-06,2,NA,NA,49
387,14,1999-07-15,1999-07-18,1,NA,NA,144
388,14,1999-07-15,1999-07-18,2,NA,NA,49
389,19,2000-07-04,2000-07-05,1,NA,NA,49
390,8,1998-07-29,1998-07-30,1,NA,NA,49
391,19,1999-06-15,1999-06-16,1,NA,NA,49
392,19,1999-06-15,1999-06-16,2,NA,NA,49
393,18,1999-06-21,1999-06-22,1,NA,NA,49
394,18,1999-06-21,1999-06-22,2,NA,NA,49
395,2,1999-06-24,1999-06-25,1,NA,NA,49
396,2,1999-06-24,1999-06-25,2,NA,NA,49
397,19,2000-07-04,2000-07-05,2,NA,NA,49
398,11,2000-07-04,2000-07-05,1,NA,NA,49
399,18,2000-07-06,2000-07-07,1,NA,NA,49
400,18,2000-07-06,2000-07-07,2,NA,NA,49
401,15,2000-07-06,2000-07-07,1,NA,NA,49
402,15,2000-07-06,2000-07-07,2,NA,NA,49
403,1,2000-07-11,2000-07-12,1,NA,NA,49
404,1,2000-07-11,2000-07-12,2,NA,NA,49
405,14,2000-07-12,2000-07-13,1,NA,NA,49
406,14,2000-07-12,2000-07-13,2,NA,NA,49
407,7,2000-07-14,2000-07-15,1,night 1 overcast,NA,49
408,7,2000-07-14,2000-07-15,2,NA,NA,49
409,6,2000-07-14,2000-07-15,1,night 1 overcast,NA,49
410,6,2000-07-14,2000-07-15,2,NA,NA,49
411,2,2000-07-25,2000-07-26,1,NA,NA,49
412,2,2000-07-25,2000-07-26,2,NA,NA,49
413,4,2000-07-26,2000-07-27,1,NA,NA,49
414,4,2000-07-26,2000-07-27,2,NA,NA,49
416,13,2000-07-27,2000-07-28,1,NA,NA,49
417,13,2000-07-27,2000-07-28,2,NA,NA,49
418,10,2000-07-29,2000-07-30,1,NA,NA,49
419,10,2000-07-29,2000-07-30,2,NA,NA,49
420,17,2000-07-30,2000-07-31,1,NA,NA,49
421,17,2000-07-30,2000-07-31,2,NA,NA,49
422,16,2000-08-01,2000-08-03,1,"one night skipped, heavy rain (.80"") evening of 8-1-00",NA,49
423,16,2000-08-01,2000-08-03,2,"1 night skipped, heavy rain (.80"") evening of 8-1-00",NA,49
424,8,2000-08-02,2000-08-03,1,NA,NA,49
425,20,2000-07-18,2000-07-20,1,NA,1 night skipped,49
426,20,2000-07-18,2000-07-20,2,1 night skipped,NA,49
427,20,2001-07-03,2001-07-04,1,NA,NA,49
428,20,2001-07-03,2001-07-04,2,NA,NA,49
429,6,2001-07-11,2001-07-12,1,NA,NA,49
430,6,2001-07-11,2001-07-12,2,NA,NA,49
431,7,2001-07-11,2001-07-12,1,NA,NA,49
432,7,2001-07-11,2001-07-12,2,NA,NA,49
433,19,2001-07-13,2001-07-14,1,NA,NA,49
434,19,2001-07-13,2001-07-14,2,NA,NA,49
435,2,2001-07-15,2001-07-16,1,NA,NA,49
436,2,2001-07-15,2001-07-16,2,NA,NA,49
437,1,2001-07-15,2001-07-16,1,NA,NA,49
438,1,2001-07-15,2001-07-16,2,NA,NA,49
439,16,2001-07-18,2001-07-19,1,NA,NA,49
440,16,2001-07-18,2001-07-19,2,NA,NA,49
441,4,2001-07-13,2001-07-14,1,NA,NA,49
442,4,2001-07-13,2001-07-14,2,NA,NA,49
443,15,2001-07-21,2001-07-22,1,NA,NA,49
444,15,2001-07-21,2001-07-22,2,NA,NA,49
445,11,2001-07-24,2001-07-25,1,NA,NA,49
446,10,2001-07-20,2001-07-21,1,NA,NA,49
447,10,2001-07-20,2001-07-21,2,NA,NA,49
448,18,2001-07-24,2001-07-25,1,NA,NA,49
449,18,2001-07-24,2001-07-25,2,NA,NA,49
450,17,2001-07-31,2001-08-01,1,NA,NA,49
451,17,2001-07-31,2001-08-01,2,NA,NA,49
452,13,2001-08-02,2001-08-03,1,NA,NA,49
453,13,2001-08-02,2001-08-03,2,NA,NA,49
454,14,2001-07-01,2001-07-02,1,NA,NA,49
455,14,2001-07-01,2001-07-02,2,NA,NA,49
456,8,2001-07-31,2001-08-01,1,NA,NA,49
457,1,2002-07-03,2002-07-04,1,NA,NA,49
458,1,2002-07-03,2002-07-04,2,NA,NA,49
459,18,2002-07-03,2002-07-04,1,NA,NA,49
460,18,2002-07-03,2002-07-04,2,NA,NA,49
461,4,2002-07-06,2002-07-07,1,NA,NA,49
462,4,2002-07-06,2002-07-07,2,NA,NA,49
463,15,2002-07-09,2002-07-10,1,NA,NA,49
464,15,2002-07-09,2002-07-10,2,NA,NA,49
465,8,2002-07-09,2002-07-10,1,NA,NA,49
466,14,2002-07-11,2002-07-12,1,NA,NA,49
467,14,2002-07-11,2002-07-12,2,many traps sprung or laying on side from wind on 7-11-02,NA,49
469,2,2002-07-12,2002-07-13,1,NA,NA,49
470,2,2002-07-12,2002-07-13,2,NA,NA,49
471,7,2002-07-15,2002-07-16,1,NA,NA,49
472,7,2002-07-15,2002-07-16,2,NA,NA,49
473,6,2002-07-15,2002-07-16,1,NA,NA,49
474,6,2002-07-15,2002-07-16,2,NA,NA,49
475,20,2002-07-17,2002-07-18,1,NA,NA,49
476,20,2002-07-17,2002-07-18,2,NA,NA,49
478,10,2002-07-17,2002-07-18,1,NA,NA,49
479,10,2002-07-17,2002-07-18,2,NA,NA,49
480,11,2002-07-20,2002-07-21,1,NA,NA,49
481,19,2002-07-28,2002-07-29,1,NA,NA,49
482,19,2002-07-28,2002-07-29,2,NA,NA,49
483,16,2002-07-24,2002-07-25,1,monsoon activity & overcact night of 7-23,NA,49
484,16,2002-07-24,2002-07-25,2,monsoon activity & overcast night of 7-23,NA,49
485,13,2002-07-26,2002-07-27,1,NA,NA,49
486,13,2002-07-26,2002-07-27,2,NA,NA,49
487,6,2003-07-23,2003-07-24,1,NA,NA,49
488,6,2003-07-23,2003-07-24,2,NA,NA,49
489,6,2004-07-15,2004-07-16,1,NA,NA,49
490,6,2004-07-15,2004-07-16,2,NA,NA,49
491,7,2003-07-23,2003-07-24,1,NA,NA,49
492,7,2003-07-23,2003-07-24,2,NA,NA,49
493,7,2004-07-15,2004-07-16,1,NA,NA,49
494,7,2004-07-15,2004-07-16,2,NA,NA,49
495,10,2003-07-30,2003-07-31,1,NA,NA,49
496,10,2003-07-30,2003-07-31,2,NA,NA,49
497,10,2004-07-23,2004-07-24,1,NA,NA,49
498,10,2004-07-23,2004-07-24,2,NA,NA,49
499,8,2003-08-05,2003-08-06,1,NA,NA,49
500,8,2004-08-11,2004-08-12,1,NA,NA,49
502,13,2003-07-10,2003-07-11,1,NA,NA,49
503,13,2003-07-10,2003-07-11,2,NA,NA,49
504,19,2003-07-11,2003-07-12,1,NA,NA,49
505,19,2003-07-11,2003-07-12,2,NA,NA,49
506,14,2003-07-13,2003-07-14,1,NA,NA,49
507,14,2003-07-13,2003-07-14,2,NA,NA,49
508,1,2003-07-15,2003-07-16,1,NA,NA,49
509,1,2003-07-15,2003-07-16,2,NA,NA,49
510,18,2003-07-15,2003-07-16,1,NA,NA,49
511,18,2003-07-15,2003-07-16,2,NA,NA,49
512,4,2003-07-19,2003-07-20,1,NA,NA,49
513,4,2003-07-19,2003-07-20,2,NA,NA,49
514,20,2003-07-21,2003-07-22,1,NA,NA,49
515,20,2003-07-21,2003-07-22,2,NA,NA,49
517,11,2003-07-25,2003-07-26,1,NA,NA,49
518,17,2003-07-26,2003-07-27,1,NA,NA,49
519,17,2003-07-26,2003-07-27,2,NA,NA,49
520,16,2003-07-28,2003-07-29,1,NA,NA,49
521,16,2003-07-28,2003-07-29,2,NA,NA,49
522,2,2003-08-08,2003-08-09,1,NA,NA,49
523,2,2003-08-08,2003-08-09,2,NA,NA,49
524,4,2004-08-03,2004-08-04,1,NA,NA,49
525,4,2004-08-03,2004-08-04,2,NA,NA,49
526,11,2004-08-04,2004-08-05,1,NA,NA,49
527,13,2004-08-05,2004-08-06,1,NA,Sight is loaded with ants.,49
528,13,2004-08-05,2004-08-06,2,NA,NA,49
529,17,2004-08-03,2004-08-04,1,NA,NA,49
530,17,2004-08-03,2004-08-04,2,NA,NA,49
532,2,2004-07-06,2004-07-07,1,NA,NA,49
533,2,2004-07-06,2004-07-07,2,NA,NA,49
534,15,2004-07-07,2004-07-08,1,NA,NA,49
535,15,2004-07-07,2004-07-08,2,NA,"Traps in gully:  A4, A5, B5, B6",49
536,1,2004-07-13,2004-07-14,1,NA,NA,49
537,1,2004-07-13,2004-07-14,2,NA,NA,49
538,18,2004-07-13,2004-07-14,1,NA,NA,49
539,18,2004-07-13,2004-07-14,2,NA,NA,49
540,19,2004-07-18,2004-07-19,1,NA,NA,49
541,19,2004-07-18,2004-07-19,2,NA,NA,49
542,20,2004-07-19,2004-07-20,1,NA,NA,49
543,20,2004-07-19,2004-07-20,2,NA,NA,49
544,14,2004-07-28,2004-07-29,1,NA,NA,49
545,14,2004-07-28,2004-07-29,2,NA,NA,49
546,16,2004-07-30,2004-07-31,1,NA,NA,49
547,16,2004-07-30,2004-07-31,2,NA,NA,49
548,1,2005-06-29,2005-06-30,1,NA,"6/29: Sprung: B5, E5",49
549,1,2005-06-29,2005-06-30,2,NA,6/30: Sprung: E7,49
550,18,2005-06-29,2005-06-30,1,NA,Channel at path: Kinosternon 10R11R8L Ad M; Kinosternon unmarked Ad F; +2  swimming/pond/boat launch,49
551,18,2005-06-29,2005-06-30,2,NA,6/30: Sprung: D7,49
552,14,2005-07-01,2005-07-02,1,NA,7/1: B7 Sprung; Cottontail in G3,49
553,14,2005-07-01,2005-07-02,2,NA,7/1: E1 Sprung,49
