ID,SpeciesCode,GenusSpecies,Family,CreatedDate
109,AMHA,Ammospermohilus harrisi,Sciuridae,03-Apr-15
110,CHBA,Chaetodipus baileyi,Heteromyid,03-Apr-15
111,CHIN,Chaetodipus intermedius,Heteromyid,03-Apr-15
112,CHPE,Chaetodipus penicillatus,Heteromyid,03-Apr-15
113,CHSP,Chaetodipus sp.,Heteromyid,03-Apr-15
114,DIDE,Dipodomys deserti,Heteromyid,03-Apr-15
115,DIME,Dipodomys merriami,Heteromyid,03-Apr-15
116,DISP,Dipodomys spectabilis,Heteromyid,03-Apr-15
117,NEAL,Neotoma albigula,Muridae,03-Apr-15
118,ONTO,Onychomys torridus,Muridae,03-Apr-15
119,PEAM,Perognathus amplus,Heteromyid,03-Apr-15
120,PEER,Peromyscus eremicus,Muridae,03-Apr-15
121,PELE,Peromyscus leucopus,Muridae,03-Apr-15
122,PELO,Perognathus longimembris,Muridae,03-Apr-15
123,PEMA,Peromyscus maniculatus,Muridae,03-Apr-15
124,PEME,Peromyscus merriami,Muridae,03-Apr-15
125,SIAR,Sigmodon arizonae,Muridae,03-Apr-15
126,SPTE,Spermophilus tereticaudus,Sciuridae,03-Apr-15